Sw_m2,span_m,MAC_m,Sh_m2,Sv_m2,MTOW_t,Wempty_t,Wfuel_t,Wcruise_t,MLW_t,MLW_frac,CLmaxTO,CLmaxLD,CL_cruise,CD_cruise,CD0_cruise,CDwave_cruise,K_cruise,LD_cruise,deltaS_landing_m2,Sw_landing_required_m2,critical,T0_envelope_kN,T0_design_5pct_kN,Takeoff,Cruise,High speed cruise,FAR 25.111,FAR 25.121a,FAR 25.121b,FAR 25.121c,FAR 25.119,FAR 25.121d
393.0,64.84674240083305,7.262795014765177,69.35294117647058,49.12500000000001,276.8676691717869,142.75733717918962,99.41033199259728,264.60041017367377,204.8820751871223,0.74,2.1388513711615067,2.439175908786194,0.6010786839564509,0.02735874313559214,0.014181980762725265,0.0019979945641181635,0.030940781715326722,21.970259414968606,83.23010659962057,309.76989340037943,Takeoff,722.3767536166065,758.4955912974368,722.3767536166065,705.594928950141,714.4524513854539,351.692762328606,363.53476305689514,496.20783116335315,341.88048847086554,281.12565661462975,382.3052679576749
394.0,64.92919220196721,7.27202934146341,69.52941176470587,49.25000000000001,276.96106313843933,142.86846957746747,99.39259356097185,264.68967685154166,204.9511867224451,0.74,2.1390987235472547,2.439505711967191,0.5997553712303918,0.027277086230038265,0.014166236195543407,0.0019817584708266313,0.030939366953557746,21.98751604817398,84.1675066717579,309.8324933282421,Takeoff,720.9461289537866,756.9934354014758,720.9461289537866,705.2790069648677,714.1714649511409,351.59667520456566,363.4368445803795,496.2698480854434,341.7763984670636,281.1902509665554,382.32063199756624
395.0,65.01153743759642,7.281251956889806,69.70588235294117,49.375,277.0558077448878,142.97996320537885,99.37584453950893,264.7802340256518,205.02129773121698,0.74,2.139345163895302,2.4398342990979205,0.5984416755303356,0.027196194520646033,0.014150569183709756,0.001965738449058227,0.03093795948353215,22.004610794941463,85.10325847283053,309.89674152716947,Takeoff,719.5301406801673,755.5066477141756,719.5301406801673,704.9722027762919,713.899379701491,351.5029025127855,363.34125694476603,496.33476870319015,341.67488277685464,281.2563439925652,382.3383601866778
396.0,65.09377850455449,7.290462905489506,69.88235294117646,49.49999999999999,277.15188301466844,143.09181310953767,99.36006990513071,264.8720626160784,205.0923934308546,0.74,2.1395906978265216,2.4401616776728803,0.5971374809855269,0.027116056741986336,0.014134979143537231,0.0019499305610785789,0.030936559249021903,22.021545635023063,86.03738586602009,309.9626141339799,Takeoff,718.1285776573874,754.0350065402567,718.1285776573874,704.6743742729062,713.636057806453,351.4114116944919,363.2479670325443,496.4025520411775,341.57590707992665,281.32391405459805,382.3584195795133
397.0,65.17591579717158,7.299662231427242,70.05882352941177,49.625,277.2492693990144,143.20401444360357,99.34525495541084,264.9651439511175,205.16445935527065,0.74,2.1398353309132623,2.4404878551218676,0.595842673810666,0.02703666186043523,0.014119465497207995,0.0019343309615152508,0.030935166194375575,22.03832251505158,86.9699122111669,310.0300877888331,Takeoff,716.7412331190361,752.5782947749879,716.7412331190361,704.3853824252585,713.3813644098274,351.32217085365113,363.15694240400563,496.47315797130466,341.4794377353195,281.3929399699441,382.3807779052573
398.0,65.25794970729619,7.308849978589807,70.23529411764706,49.75,277.3479477649837,143.31656246529766,99.33138529968603,265.05945975596796,205.23748134608795,0.74,2.1400790686798867,2.4408128388107,0.5945571422543197,0.026957999067952158,0.01410402767269972,0.001918935894673701,0.030933780264511036,22.05494334930566,87.90086037862943,310.09913962137057,Takeoff,715.3679045514839,751.1362997790582,715.3679045514839,704.1050911995092,713.1351675461585,351.23514873913086,363.06815127893645,496.5465471897499,341.38544176343635,281.46340099872947,382.40540354953936
399.0,65.33988062431702,7.318026190588491,70.41176470588235,49.87500000000001,277.4478993839924,143.42945253351982,99.3184468504726,265.15499214179863,205.3114455441544,0.74,2.1403219166033023,2.441136636041921,0.5932807765489736,0.02688005777606596,0.014088665103713016,0.0019037416919473178,0.030932401404908123,22.071410020451356,88.83025276267074,310.16974723732926,Takeoff,714.0083935787579,749.7088132576957,714.0083935787579,703.8333674739779,712.8973380604887,351.1503147274599,362.9815625189292,496.622681194711,341.29388682865437,281.5352768318279,382.43226553681126
400.0,65.4217089351845,7.327190910761502,70.58823529411765,50.0,277.54910592073963,143.5426801055652,99.30642581517445,265.25172359518933,205.38633838134731,0.74,2.1405638801134854,2.4414592540554985,0.592013468862665,0.02680282761006013,0.014073377229599927,0.0018887447693174005,0.030931029561601535,22.08772438026127,89.75811129439126,310.24188870560874,High speed cruise,712.6677495308671,748.3011370074105,712.6625058513001,703.5700809585534,712.6677495308671,351.0676388061649,362.8971456102846,496.70152226489694,341.2047412225109,281.6085475791818,382.46133351331696
401.0,65.50343502443211,7.336344182176353,70.76470588235294,50.125,277.65154942250683,143.65624073443436,99.29530868807244,265.34963696792636,205.46214657265503,0.74,2.140804964593997,2.441780700029514,0.5907551132521308,0.026726298403349537,0.014058163495293494,0.0018739416249396732,0.03092966468117378,22.103888250312025,90.68445745422616,310.31554254577384,High speed cruise,712.4462781934868,748.0685921031612,711.3300509384562,703.3151041168534,712.4462781934868,350.9870915576606,362.8148706474847,496.78303343873756,341.1179738474428,281.6831937585165,382.49257773062874
402.0,65.5850592741975,7.345486047632225,70.94117647058825,50.25,277.7552123088147,143.77013006623403,99.28508224258067,265.44871546714046,205.53885710852288,0.74,2.1410451753824944,2.4421009810808436,0.5895056056174147,0.026650460192040887,0.014043023351238384,0.001859328836813549,0.030928306710748237,22.119903422660954,91.60931228402666,310.39068771597334,High speed cruise,712.2328028703566,747.8444430138744,710.0108422245273,703.068312091014,712.2328028703566,350.90864414366837,362.7347083172075,496.86717849428027,341.03355420105447,281.759196284429,382.5259690297248
